,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site,Repeated
91,20,Pooled data Train,0.8571428571428571,0.9186065051020408,0.8571428571428571,0.8571428571428571,['random_Q'],eNKI,0
92,21,Pooled data Test,0.5535714285714286,0.6084183673469388,0.576271186440678,0.6071428571428571,['random_Q'],eNKI,0
93,21,Pooled data Train,0.8482142857142857,0.9261001275510206,0.8482142857142857,0.8482142857142857,['random_Q'],eNKI,0
94,22,Pooled data Test,0.6964285714285714,0.8290816326530612,0.6530612244897959,0.5714285714285714,['random_Q'],eNKI,0
95,22,Pooled data Train,0.8169642857142857,0.9107142857142857,0.8225108225108225,0.8482142857142857,['random_Q'],eNKI,0
96,23,Pooled data Test,0.625,0.6862244897959183,0.6181818181818182,0.6071428571428571,['random_Q'],eNKI,0
97,23,Pooled data Train,0.8616071428571428,0.9326371173469388,0.8622222222222222,0.8660714285714286,['random_Q'],eNKI,0
98,24,Pooled data Test,0.6428571428571429,0.7589285714285714,0.6428571428571429,0.6428571428571429,['random_Q'],eNKI,0
99,24,Pooled data Train,0.84375,0.9088010204081634,0.8444444444444444,0.8482142857142857,['random_Q'],eNKI,0
100,0,Pooled data Test,0.7678571428571428,0.7551020408163266,0.7636363636363637,0.75,['random_Q'],CamCAN,0
101,0,Pooled data Train,0.8571428571428571,0.9282525510204083,0.8571428571428571,0.8571428571428571,['random_Q'],CamCAN,0
102,1,Pooled data Test,0.7678571428571428,0.7678571428571429,0.7636363636363637,0.75,['random_Q'],CamCAN,0
103,1,Pooled data Train,0.8348214285714286,0.913265306122449,0.832579185520362,0.8214285714285714,['random_Q'],CamCAN,0
104,2,Pooled data Test,0.6964285714285714,0.8048469387755103,0.711864406779661,0.75,['random_Q'],CamCAN,0
105,2,Pooled data Train,0.8705357142857143,0.9235491071428571,0.8711111111111111,0.875,['random_Q'],CamCAN,0
106,3,Pooled data Test,0.6428571428571428,0.610969387755102,0.6153846153846154,0.5714285714285714,['random_Q'],CamCAN,0
107,3,Pooled data Train,0.8571428571428572,0.9326371173469388,0.8584070796460177,0.8660714285714286,['random_Q'],CamCAN,0
108,4,Pooled data Test,0.6071428571428571,0.6747448979591837,0.6071428571428571,0.6071428571428571,['random_Q'],CamCAN,0
109,4,Pooled data Train,0.8482142857142857,0.9245854591836735,0.8482142857142857,0.8482142857142857,['random_Q'],CamCAN,0
110,5,Pooled data Test,0.5535714285714286,0.6020408163265306,0.5098039215686274,0.4642857142857143,['random_Q'],CamCAN,0
111,5,Pooled data Train,0.8794642857142857,0.9339923469387755,0.8789237668161435,0.875,['random_Q'],CamCAN,0
112,6,Pooled data Test,0.7142857142857143,0.8239795918367347,0.7575757575757576,0.8928571428571429,['random_Q'],CamCAN,0
113,6,Pooled data Train,0.8348214285714286,0.9139827806122449,0.8340807174887892,0.8303571428571429,['random_Q'],CamCAN,0
114,7,Pooled data Test,0.6428571428571428,0.7257653061224489,0.6153846153846154,0.5714285714285714,['random_Q'],CamCAN,0
115,7,Pooled data Train,0.8705357142857142,0.9388552295918368,0.8722466960352423,0.8839285714285714,['random_Q'],CamCAN,0
