,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site,Repeated
444,22,Pooled data Test,0.7058823529411764,0.7844845999401939,0.7039473684210527,0.6993464052287581,random_Q,1000Brains,8
445,22,Pooled data Train,0.8739770867430442,0.943161515157197,0.8747967479674796,0.8805237315875614,random_Q,1000Brains,8
446,23,Pooled data Test,0.6524122807017544,0.7205882352941176,0.6580645161290323,0.6666666666666666,random_Q,1000Brains,8
447,23,Pooled data Train,0.8610041397901222,0.9404651113036595,0.862012987012987,0.8690671031096563,random_Q,1000Brains,8
448,24,Pooled data Test,0.6787710698314413,0.7679738562091504,0.6858974358974359,0.7039473684210527,random_Q,1000Brains,8
449,24,Pooled data Train,0.865887380593263,0.9442224789533926,0.8685897435897436,0.8856209150326797,random_Q,1000Brains,8
450,0,Pooled data Test,0.673202614379085,0.7649194754154385,0.6621621621621622,0.6405228758169934,random_Q,1000Brains,9
451,0,Pooled data Train,0.8584288052373159,0.9401212361479798,0.8578471651602301,0.8543371522094927,random_Q,1000Brains,9
452,1,Pooled data Test,0.6503267973856209,0.7419368618907258,0.65814696485623,0.673202614379085,random_Q,1000Brains,9
453,1,Pooled data Train,0.8543371522094927,0.9407078626704634,0.8552845528455284,0.8608837970540099,random_Q,1000Brains,9
454,2,Pooled data Test,0.6633986928104576,0.7477465931906531,0.6688102893890675,0.6797385620915033,random_Q,1000Brains,9
455,2,Pooled data Train,0.8707037643207856,0.9482670409647462,0.8717532467532467,0.8788870703764321,random_Q,1000Brains,9
456,3,Pooled data Test,0.672235122119023,0.7249742002063984,0.6621621621621622,0.6405228758169934,random_Q,1000Brains,9
457,3,Pooled data Train,0.8618211332541745,0.947065241808671,0.8627132412672623,0.8690671031096563,random_Q,1000Brains,9
458,4,Pooled data Test,0.7048718610251118,0.8067595459236326,0.7,0.6907894736842105,random_Q,1000Brains,9
459,4,Pooled data Train,0.8601751120524588,0.9404196484922392,0.8610885458976442,0.8660130718954249,random_Q,1000Brains,9
460,5,Pooled data Test,0.7026143790849673,0.7738049468153274,0.6976744186046512,0.6862745098039216,random_Q,1000Brains,9
461,5,Pooled data Train,0.8494271685761048,0.9416641442619086,0.8511326860841424,0.8608837970540099,random_Q,1000Brains,9
462,6,Pooled data Test,0.6601307189542484,0.728395061728395,0.6623376623376623,0.6666666666666666,random_Q,1000Brains,9
463,6,Pooled data Train,0.8698854337152209,0.9532225618167742,0.8712550607287449,0.8805237315875614,random_Q,1000Brains,9
464,7,Pooled data Test,0.6176470588235294,0.6847366397539408,0.6377708978328174,0.673202614379085,random_Q,1000Brains,9
465,7,Pooled data Train,0.8567921440261865,0.9417070028206288,0.8573757131214343,0.8608837970540099,random_Q,1000Brains,9
