site,Original_N,Obtained_N,N_share,n_images_each_bin,age_bins,low_age_cut,high_age_cut,Share_percentage,age_diff,median_low,median_hich,mean_low,mean_hich,std_low,std_high
AOMIC,1363,764,517,127.33333333333333,3,23.0,26.0,1.4777562862669245,3.0,2.0054,2.0084,2.0634565445026176,2.062983115183246,0.1883351870206108,0.18160598771380593
AOMIC,1363,382,373,63.666666666666664,3,24.0,26.0,1.0241286863270778,2.0,1.9993500000000002,2.00135,2.054940837696335,2.0553065445026175,0.18534141754493016,0.18540910609709474
AOMIC,1363,60,33,7.5,4,18.0,21.0,1.8181818181818181,3.0,2.2163,2.1880499999999996,2.2598616666666667,2.2296316666666667,0.26553656142761634,0.27214567042188736
AOMIC,1363,90,34,11.25,4,18.0,22.0,2.6470588235294117,4.0,2.129,2.1253,2.21156,2.1966244444444443,0.2804035381815271,0.2739846142285321
AOMIC,1363,120,36,15.0,4,18.0,23.0,3.3333333333333335,5.0,2.1043000000000003,2.1079,2.17152,2.1754208333333334,0.25055801307474956,0.255378430317771
AOMIC,1363,388,218,48.5,4,18.0,24.0,1.7798165137614679,6.0,2.0336999999999996,2.0168,2.1249,2.118578608247423,0.23990650806057578,0.23973730461896203
AOMIC,1363,582,304,72.75,4,18.0,25.0,1.9144736842105263,7.0,2.0151,2.031,2.1001981099656355,2.1287170103092783,0.22451628895638875,0.24329485600044798
AOMIC,1363,582,301,72.75,4,18.0,26.0,1.9335548172757475,8.0,2.0282999999999998,2.0119,2.1138702749140896,2.1044828178694153,0.22287806432881735,0.23153511634336474
AOMIC,1363,368,223,46.0,4,19.0,22.0,1.6502242152466369,3.0,2.0235000000000003,2.022,2.127110869565217,2.119709510869565,0.2464326757884281,0.23905578827816926
AOMIC,1363,552,306,69.0,4,19.0,23.0,1.803921568627451,4.0,2.0136000000000003,2.0185000000000004,2.1043458333333334,2.1082085144927536,0.23585654084463165,0.23404100075897974
AOMIC,1363,736,409,92.0,4,19.0,24.0,1.7995110024449879,5.0,2.0092499999999998,2.0143,2.0988198369565216,2.105016168478261,0.22589715699391297,0.22817826554577092
