site,low_age_cut,high_age_cut,Obtained_N,age_diff,age_bins
eNKI,21.0,30.0,104,9.0,3
eNKI,21.0,31.0,144,10.0,3
eNKI,21.0,32.0,128,11.0,3
eNKI,21.0,33.0,128,12.0,3
eNKI,21.0,34.0,138,13.0,3
eNKI,21.0,35.0,140,14.0,3
eNKI,21.0,36.0,140,15.0,3
eNKI,21.0,37.0,132,16.0,3
eNKI,21.0,38.0,148,17.0,3
eNKI,21.0,39.0,148,18.0,3
eNKI,21.0,40.0,144,19.0,3
eNKI,21.0,41.0,140,20.0,3
eNKI,21.0,42.0,140,21.0,3
eNKI,21.0,43.0,168,22.0,3
eNKI,21.0,44.0,144,23.0,3
eNKI,21.0,45.0,144,24.0,3
eNKI,21.0,46.0,198,25.0,3
eNKI,21.0,47.0,152,26.0,3
eNKI,21.0,48.0,152,27.0,3
eNKI,21.0,49.0,186,28.0,3
eNKI,21.0,50.0,148,29.0,3
eNKI,21.0,51.0,148,30.0,3
eNKI,21.0,52.0,222,31.0,3
eNKI,21.0,53.0,180,32.0,3
eNKI,21.0,54.0,180,33.0,3
eNKI,21.0,55.0,240,34.0,3
eNKI,21.0,56.0,184,35.0,3
eNKI,21.0,57.0,184,36.0,3
eNKI,21.0,58.0,276,37.0,3
eNKI,21.0,59.0,196,38.0,3
eNKI,21.0,60.0,196,39.0,3
eNKI,21.0,61.0,282,40.0,3
eNKI,21.0,62.0,212,41.0,3
eNKI,21.0,63.0,212,42.0,3
eNKI,21.0,64.0,318,43.0,3
eNKI,21.0,65.0,244,44.0,3
eNKI,21.0,66.0,244,45.0,3
eNKI,21.0,67.0,366,46.0,3
eNKI,21.0,68.0,244,47.0,3
eNKI,21.0,69.0,244,48.0,3
eNKI,21.0,70.0,366,49.0,3
eNKI,21.0,71.0,244,50.0,3
eNKI,21.0,72.0,244,51.0,3
eNKI,21.0,73.0,366,52.0,3
eNKI,21.0,74.0,260,53.0,3
eNKI,21.0,75.0,260,54.0,3
eNKI,21.0,76.0,390,55.0,3
eNKI,21.0,77.0,284,56.0,3
eNKI,21.0,78.0,284,57.0,3
eNKI,21.0,79.0,426,58.0,3
eNKI,21.0,80.0,312,59.0,3
eNKI,21.0,81.0,312,60.0,3
eNKI,21.0,82.0,456,61.0,3
eNKI,21.0,83.0,332,62.0,3
eNKI,21.0,84.0,332,63.0,3
eNKI,21.0,85.0,432,64.0,3
eNKI,22.0,24.0,52,2.0,3
eNKI,22.0,25.0,80,3.0,3
eNKI,22.0,26.0,66,4.0,3
eNKI,22.0,27.0,76,5.0,3
eNKI,22.0,28.0,76,6.0,3
eNKI,22.0,29.0,114,7.0,3
eNKI,22.0,30.0,108,8.0,3
eNKI,22.0,31.0,108,9.0,3
eNKI,22.0,32.0,120,10.0,3
eNKI,22.0,33.0,128,11.0,3
eNKI,22.0,34.0,128,12.0,3
eNKI,22.0,35.0,126,13.0,3
eNKI,22.0,36.0,132,14.0,3
eNKI,22.0,37.0,132,15.0,3
eNKI,22.0,38.0,138,16.0,3
eNKI,22.0,39.0,132,17.0,3
eNKI,22.0,40.0,132,18.0,3
eNKI,22.0,41.0,132,19.0,3
eNKI,22.0,42.0,128,20.0,3
eNKI,22.0,43.0,128,21.0,3
eNKI,22.0,44.0,180,22.0,3
eNKI,22.0,45.0,152,23.0,3
eNKI,22.0,46.0,152,24.0,3
eNKI,22.0,47.0,204,25.0,3
eNKI,22.0,48.0,140,26.0,3
eNKI,22.0,49.0,140,27.0,3
eNKI,22.0,50.0,210,28.0,3
eNKI,22.0,51.0,164,29.0,3
eNKI,22.0,52.0,164,30.0,3
eNKI,22.0,53.0,246,31.0,3
eNKI,22.0,54.0,172,32.0,3
eNKI,22.0,55.0,172,33.0,3
eNKI,22.0,56.0,234,34.0,3
eNKI,22.0,57.0,188,35.0,3
eNKI,22.0,58.0,188,36.0,3
eNKI,22.0,59.0,264,37.0,3
eNKI,22.0,60.0,192,38.0,3
eNKI,22.0,61.0,192,39.0,3
