,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site,Repeated
1336,22,Pooled data Train,0.8998675935120821,0.9511751075802715,0.8962264150943396,0.8962264150943396,['random_Q'],eNKI,8
1337,22,Pooled data Train,0.8191065017949741,0.9131232548863183,0.8056872037914692,0.7391304347826086,['random_Q'],CamCAN,8
1338,23,Pooled data Test,0.6388888888888888,0.7354497354497355,0.6111111111111112,0.6111111111111112,['random_Q'],SALD,8
1339,23,Pooled data Test,0.7857142857142857,0.9110204081632652,0.8051948051948052,0.8857142857142857,['random_Q'],eNKI,8
1340,23,Pooled data Test,0.6760869565217391,0.7565217391304349,0.6818181818181818,0.6521739130434783,['random_Q'],CamCAN,8
1341,23,Pooled data Train,0.8426983636924976,0.919265205310281,0.861878453038674,0.9512195121951219,['random_Q'],SALD,8
1342,23,Pooled data Train,0.8904761904761904,0.94140589569161,0.8909952606635071,0.8952380952380953,['random_Q'],eNKI,8
1343,23,Pooled data Train,0.8596153846153847,0.9391737891737891,0.8450704225352113,0.7692307692307693,['random_Q'],CamCAN,8
1344,24,Pooled data Test,0.7350427350427351,0.7606837606837606,0.7777777777777778,0.7777777777777778,['random_Q'],SALD,8
1345,24,Pooled data Test,0.7321428571428572,0.7448979591836735,0.7368421052631579,0.75,['random_Q'],eNKI,8
1346,24,Pooled data Test,0.6047619047619048,0.702857142857143,0.5283018867924528,0.4666666666666667,['random_Q'],CamCAN,8
1347,24,Pooled data Train,0.8549201009251471,0.9303336136809643,0.861878453038674,0.9512195121951219,['random_Q'],SALD,8
1348,24,Pooled data Train,0.8928571428571428,0.9512117346938775,0.8956521739130435,0.9196428571428571,['random_Q'],eNKI,8
1349,24,Pooled data Train,0.8296536796536796,0.9277922077922078,0.8177339901477833,0.7545454545454545,['random_Q'],CamCAN,8
1350,0,Pooled data Test,0.5238095238095237,0.6235827664399093,0.6153846153846154,0.7619047619047619,['random_Q'],SALD,9
1351,0,Pooled data Test,0.606280193236715,0.821256038647343,0.5128205128205128,0.43478260869565216,['random_Q'],eNKI,9
1352,0,Pooled data Test,0.7924107142857143,0.8493303571428571,0.7636363636363637,0.65625,['random_Q'],CamCAN,9
1353,0,Pooled data Train,0.7974683544303798,0.9121935587245634,0.8181818181818182,0.9113924050632911,['random_Q'],SALD,9
