,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site,Repeated
2433,5,Pooled data Train,0.7704343365253078,0.8889648882808937,0.8013245033112583,0.8897058823529411,['random_Q'],SALD,16
2434,5,Pooled data Train,0.8735769403785598,0.9446001591750579,0.873900293255132,0.8816568047337278,['random_Q'],eNKI,16
2435,5,Pooled data Train,0.830368906455863,0.9297321036451471,0.8034934497816594,0.696969696969697,['random_Q'],CamCAN,16
2436,6,Pooled data Test,0.5680147058823529,0.6479779411764706,0.6666666666666666,0.8235294117647058,['random_Q'],SALD,16
2437,6,Pooled data Test,0.7117224880382775,0.8104066985645934,0.7578947368421053,0.8181818181818182,['random_Q'],eNKI,16
2438,6,Pooled data Test,0.6446314102564102,0.6842948717948719,0.5555555555555556,0.46875,['random_Q'],CamCAN,16
2439,6,Pooled data Train,0.7711259877085161,0.8799934152765584,0.7905405405405406,0.8731343283582089,['random_Q'],SALD,16
2440,6,Pooled data Train,0.843381234150465,0.937142857142857,0.8439306358381503,0.863905325443787,['random_Q'],eNKI,16
2441,6,Pooled data Train,0.8343812433893525,0.9383593841814549,0.8151260504201681,0.7238805970149254,['random_Q'],CamCAN,16
2442,7,Pooled data Test,0.6448412698412699,0.6944444444444444,0.6229508196721312,0.6785714285714286,['random_Q'],SALD,16
2443,7,Pooled data Test,0.8276485788113694,0.896124031007752,0.845360824742268,0.9111111111111111,['random_Q'],eNKI,16
2444,7,Pooled data Test,0.671594982078853,0.7302867383512545,0.5964912280701754,0.4722222222222222,['random_Q'],CamCAN,16
2445,7,Pooled data Train,0.7654761904761904,0.8814935064935066,0.7934426229508197,0.8642857142857143,['random_Q'],SALD,16
2446,7,Pooled data Train,0.8344887955182073,0.9302170868347339,0.838150289017341,0.8630952380952381,['random_Q'],eNKI,16
2447,7,Pooled data Train,0.8317663817663818,0.928945868945869,0.808695652173913,0.7153846153846154,['random_Q'],CamCAN,16
2448,8,Pooled data Test,0.6931818181818181,0.7477272727272728,0.7317073170731707,0.75,['random_Q'],SALD,16
2449,8,Pooled data Test,0.6753460777851021,0.8266315095583389,0.6376811594202898,0.5945945945945946,['random_Q'],eNKI,16
2450,8,Pooled data Test,0.7447916666666667,0.8055555555555555,0.711864406779661,0.65625,['random_Q'],CamCAN,16
2451,8,Pooled data Train,0.7739293981481481,0.8857638888888889,0.7841726618705036,0.8515625,['random_Q'],SALD,16
2452,8,Pooled data Train,0.867468287526427,0.9490618393234672,0.8729281767955801,0.8977272727272727,['random_Q'],eNKI,16
2453,8,Pooled data Train,0.8274397244546499,0.9308266360505166,0.8067226890756303,0.7164179104477612,['random_Q'],CamCAN,16
2454,9,Pooled data Test,0.5913865546218487,0.5630252100840337,0.6376811594202898,0.6470588235294118,['random_Q'],SALD,16
2455,9,Pooled data Test,0.7233032747982915,0.8030374940673943,0.7291666666666666,0.813953488372093,['random_Q'],eNKI,16
