site,Original_N,Obtained_N,N_share,n_images_each_bin,age_bins,low_age_cut,high_age_cut,Share_percentage,age_diff,median_low,median_hich,mean_low,mean_hich,std_low,std_high
DLBS,283,108,72,18.0,3,21.0,52.0,1.5,31.0,2.5011,2.5128500000000003,2.5626657407407407,2.589938888888889,0.2631858939925209,0.28500920786349726
DLBS,283,68,40,11.333333333333334,3,21.0,53.0,1.7,32.0,2.4932499999999997,2.4809,2.532514705882353,2.517341176470588,0.22150862808889107,0.2247134933645236
DLBS,283,68,44,11.333333333333334,3,21.0,54.0,1.5454545454545454,33.0,2.4809,2.4891,2.52254705882353,2.5189205882352943,0.2509793042966894,0.23073786933643436
DLBS,283,102,62,17.0,3,21.0,55.0,1.6451612903225807,34.0,2.52515,2.5507999999999997,2.5937313725490196,2.6107519607843135,0.28408411562175123,0.3198625229844513
DLBS,283,72,50,12.0,3,21.0,56.0,1.44,35.0,2.4728000000000003,2.44705,2.5265444444444447,2.52935,0.2340828924378742,0.24939577687107448
DLBS,283,72,49,12.0,3,21.0,57.0,1.469387755102041,36.0,2.4891,2.4808000000000003,2.539406944444445,2.5065722222222226,0.24435216177717758,0.22015185554343514
DLBS,283,64,40,10.666666666666666,3,21.0,59.0,1.6,38.0,2.518,2.55295,2.564096875,2.5967890625,0.24631729245326633,0.24925241182204666
DLBS,283,64,40,10.666666666666666,3,21.0,60.0,1.6,39.0,2.5326500000000003,2.50115,2.564828125,2.553903125,0.2516580436673152,0.26623936894715805
DLBS,283,96,61,16.0,3,21.0,61.0,1.5737704918032787,40.0,2.5773,2.598,2.645165625,2.6307281249999996,0.31260693288878216,0.2874374742821655
DLBS,283,80,54,13.333333333333334,3,21.0,62.0,1.4814814814814814,41.0,2.51525,2.52515,2.57185625,2.5801575,0.2624888274144351,0.2819924425663868
DLBS,283,80,56,13.333333333333334,3,21.0,63.0,1.4285714285714286,42.0,2.54345,2.5028,2.5906575000000003,2.5531087500000003,0.2601409500003577,0.23229297585447803
DLBS,283,120,75,20.0,3,21.0,64.0,1.6,43.0,2.63525,2.59645,2.6906391666666667,2.6633766666666663,0.3471609670232381,0.33009718755616957
DLBS,283,100,70,16.666666666666668,3,21.0,65.0,1.4285714285714286,44.0,2.5332,2.54345,2.5663889999999996,2.6099479999999993,0.23963063323128844,0.306083435340593
DLBS,283,100,73,16.666666666666668,3,21.0,66.0,1.36986301369863,45.0,2.53955,2.54995,2.5884900000000006,2.6146100000000003,0.2769365078748907,0.2970859340699627
DLBS,283,138,97,23.0,3,21.0,67.0,1.422680412371134,46.0,2.64615,2.64125,2.7376898550724635,2.712871739130435,0.3841717712473634,0.3745848577009636
